sezon,mecz,data,wynik,status,runda,druzyna_domowa,druzyna_goscinna,bramki_domowe,bramki_goscinne
LIQUI MOLY HBL 2020/21,FRISCH AUF! Göppingen vs TSV Hannover-Burgdorf,2021-03-20 19:30,31:24,Final,Round: 22,FRISCH AUF! Göppingen,TSV Hannover-Burgdorf,31,24
LIQUI MOLY HBL 2020/21,TuSEM Essen vs TVB Stuttgart,2021-03-20 19:30,27:20,Final,Round: 22,TuSEM Essen,TVB Stuttgart,27,20
LIQUI MOLY HBL 2020/21,Bergischer HC vs HSG Nordhorn-Lingen,2021-03-20 17:15,25:25,Final,Round: 22,Bergischer HC,HSG Nordhorn-Lingen,25,25
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs HC Erlangen,2021-03-20 17:15,24:29,Final,Round: 22,HBW Balingen-Weilstetten,HC Erlangen,24,29
LIQUI MOLY HBL 2020/21,TSV Hannover-Burgdorf vs SC Magdeburg,2021-03-18 18:00,27:29,Final,Round: 21,TSV Hannover-Burgdorf,SC Magdeburg,27,29
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs Eulen Ludwigshafen,2021-03-18 18:00,31:27,Final,Round: 21,Rhein-Neckar Löwen,Eulen Ludwigshafen,31,27
LIQUI MOLY HBL 2020/21,Füchse Berlin vs GWD Minden,2021-03-18 18:00,28:25,Final,Round: 21,Füchse Berlin,GWD Minden,28,25
LIQUI MOLY HBL 2020/21,TBV Lemgo Lippe vs SC DHfK Leipzig,2021-03-18 18:00,28:23,Final,Round: 21,TBV Lemgo Lippe,SC DHfK Leipzig,28,23
LIQUI MOLY HBL 2020/21,HSG Wetzlar vs FRISCH AUF! Göppingen,2021-03-17 19:15,31:32,Final,Round: 21,HSG Wetzlar,FRISCH AUF! Göppingen,31,32
LIQUI MOLY HBL 2020/21,TVB Stuttgart vs HBW Balingen-Weilstetten,2021-03-17 19:15,27:23,Final,Round: 21,TVB Stuttgart,HBW Balingen-Weilstetten,27,23
LIQUI MOLY HBL 2020/21,HC Erlangen vs TuSEM Essen,2021-03-17 17:00,29:24,Final,Round: 21,HC Erlangen,TuSEM Essen,29,24
LIQUI MOLY HBL 2020/21,HSG Nordhorn-Lingen vs MT Melsungen,2021-03-17 17:00,21:29,Final,Round: 21,HSG Nordhorn-Lingen,MT Melsungen,21,29
LIQUI MOLY HBL 2020/21,HSC 2000 Coburg vs THW Kiel,2021-03-17 17:00,32:37,Final,Round: 21,HSC 2000 Coburg,THW Kiel,32,37
LIQUI MOLY HBL 2020/21,SC Magdeburg vs HSC 2000 Coburg,2021-03-07 15:00,43:22,Final,Round: 20,SC Magdeburg,HSC 2000 Coburg,43,22
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs TVB Stuttgart,2021-03-07 15:00,23:25,Final,Round: 20,SC DHfK Leipzig,TVB Stuttgart,23,25
LIQUI MOLY HBL 2020/21,TuSEM Essen vs Füchse Berlin,2021-03-07 15:00,23:24,Final,Round: 20,TuSEM Essen,Füchse Berlin,23,24
LIQUI MOLY HBL 2020/21,GWD Minden vs SG Flensburg-Handewitt,2021-03-07 12:30,28:29,Final,Round: 20,GWD Minden,SG Flensburg-Handewitt,28,29
LIQUI MOLY HBL 2020/21,THW Kiel vs HSG Nordhorn-Lingen,2021-03-06 19:30,32:22,Final,Round: 20,THW Kiel,HSG Nordhorn-Lingen,32,22
LIQUI MOLY HBL 2020/21,Rhein-Neckar Löwen vs FRISCH AUF! Göppingen,2021-03-06 19:30,31:32,Final,Round: 20,Rhein-Neckar Löwen,FRISCH AUF! Göppingen,31,32
LIQUI MOLY HBL 2020/21,Bergischer HC vs TSV Hannover-Burgdorf,2021-03-06 17:30,27:23,Final,Round: 20,Bergischer HC,TSV Hannover-Burgdorf,27,23
LIQUI MOLY HBL 2020/21,MT Melsungen vs HC Erlangen,2021-03-04 18:00,31:29,Final,Round: 20,MT Melsungen,HC Erlangen,31,29
LIQUI MOLY HBL 2020/21,HBW Balingen-Weilstetten vs TBV Lemgo Lippe,2021-03-04 18:00,25:26,Final,Round: 20,HBW Balingen-Weilstetten,TBV Lemgo Lippe,25,26
LIQUI MOLY HBL 2020/21,Eulen Ludwigshafen vs HSG Wetzlar,2021-03-04 18:00,27:27,Final,Round: 20,Eulen Ludwigshafen,HSG Wetzlar,27,27
LIQUI MOLY HBL 2020/21,SC DHfK Leipzig vs TuSEM Essen,2021-03-04 18:00,26:23,Final,Round: 7,SC DHfK Leipzig,TuSEM Essen,26,23
LIQUI MOLY HBL 2020/21,GWD Minden vs Rhein-Neckar Löwen,2021-02-28 15:00,26:26,Final,Round: 9,GWD Minden,Rhein-Neckar Löwen,26,26
LIQUI MOLY HBL 2020/21,HC Erlangen vs HSG Nordhorn-Lingen,2021-02-28 15:00,35:29,Final,Round: 16,HC Erlangen,HSG Nordhorn-Lingen,35,29
LIQUI MOLY HBL 2020/21,Bergischer HC vs TBV Lemgo Lippe,2021-02-28 15:00,33:26,Final,Round: 17,Bergischer HC,TBV Lemgo Lippe,33,26
LIQUI MOLY HBL 2020/21,MT Melsungen vs SC Magdeburg,2021-02-28 15:00,24:27,Final,Round: 8,MT Melsungen,SC Magdeburg,24,27
